Outcome 1 Result 1b Kaplan-Meier Graph
" "
Generated by TriNetX
" "
" "
Graph Data Table
Time (Days),Cohort 1: Survival Probability,Cohort 1: Survival Probability 95 % CI Lower,Cohort 1: Survival Probability 95 % CI Upper,Cohort 2: Survival Probability,Cohort 2: Survival Probability 95 % CI Lower,Cohort 2: Survival Probability 95 % CI Upper
91,0.7087628495888324,0.6821101998421769,0.7336341100009744,0.6091759785774437,0.5807143844075813,0.6363462896574533
92,0.7010867176438265,0.6742493638470036,0.7261800717452238,0.6056749672063085,0.5771717274238202,0.6329044472328083
93,0.6985186344290136,0.6716208952912159,0.7236848412945089,0.6039244615207411,0.5754010052772117,0.6311829356770675
94,0.697662606690743,0.6707449654870639,0.7228528760120713,0.603047938354528,0.5745144307325344,0.6303208561690897
95,0.6950913685825465,0.6681144132098854,0.7203534361918926,0.6004183688558893,0.5718553136191452,0.6277340274055089
96,0.6899488923661529,0.6628563371319482,0.7153515907085851,0.5969071503245682,0.5683057341629261,0.6242787971466127
97,0.6847936079898181,0.6575883225656554,0.7103341110867345,0.5942737364260777,0.5656446092316227,0.621686343599506
98,0.6813524340803215,0.654073830652167,0.7069830070038817,0.5881200143033226,0.5594290903770772,0.6156254282508559
99,0.6796318471255733,0.6523172453136623,0.7053068089481993,0.5854787567540565,0.5567625725804848,0.6130227625032475
100,0.677911260170825,0.6505610976681093,0.7036301828041683,0.5837179183878788,0.5549853970231209,0.6112871630192409
101,,,,0.5828348353040849,0.5540941052819379,0.6104167439405359
102,0.6744700862613282,0.6470501075044277,0.7002756538227012,0.5801815659476169,0.5514165322950022,0.607801162669835
103,0.6727494993065801,0.6452952610944185,0.6985977546930271,0.5784100191813648,0.5496291001243365,0.6060544399205546
104,0.6701686188744576,0.6426637969730369,0.6960801177957204,0.5757486233875856,0.5469443540755917,0.6034298265253167
105,0.6675877384423353,0.6400332938855134,0.6935615403563099,0.5704258318000267,0.5415776283239534,0.5981779176405577
106,0.6641465645328388,0.6365274408415157,0.6902019840917168,0.5677561321192154,0.538886759358958,0.5955429072829512
107,0.6615589805151785,0.6338918963137884,0.6876750733676675,0.565976332332008,0.5370933616566601,0.5937857348833407
108,0.659833924503405,0.6321353957540663,0.6859899488989571,,,
109,0.6589713964975183,0.6312573035685063,0.6851472320803058,0.5650864324384041,0.5361968169765374,0.5929069993143965
110,0.6581077380486359,0.6303780924945013,0.6843033732699034,0.5633066326511963,0.5344040354522437,0.5911492298920813
111,0.6572440795997531,0.6294989869181647,0.6834594113688663,0.5633066326511963,0.5344040354522437,0.5911492298920813
112,0.6537849002334387,0.6259786980429135,0.6800783544664006,0.5615240167250848,0.5326086528249402,0.5893884438128388
113,0.65292010539186,0.6250988889760434,0.6792328332258393,0.5588500928359178,0.5299163506722885,0.586746517162672
114,,,,0.5570646292805317,0.5281189529228074,0.5849820853637042
115,0.6503222800388416,0.6224563693405314,0.6766924886709208,,,
116,0.6494551836654564,0.6215744907102079,0.6758444396481014,0.5561690269826531,0.5272173405845734,0.5840970490155828
117,0.6459821612929134,0.6180430154121508,0.6724469484457976,,,
118,0.6442456501066423,0.6162779088812198,0.6707475874685309,0.5534822200890168,0.5245131300092046,0.5814413342125868
